Provider UKPRN	UCAS org code	Provider name	Provider short name	Guardian name	Russell Group filter	Country	Region
10007783	A20	The University of Aberdeen	Aberdeen	Aberdeen	Non-member	Scotland	SCOT
10007856	A40	Aberystwyth University	Aberystwyth	Aberystwyth	Non-member	Wales	WALE
10000291	A60	Anglia Ruskin University	Anglia Ruskin	Anglia Ruskin	Non-member	England	EAST
10000385	A66	The Arts University Bournemouth	Arts B'mouth		Non-member	England	SWES
10007857	B06	Bangor University	Bangor	Bangor	Non-member	Wales	WALE
10007850	B16	The University of Bath	Bath	Bath	Non-member	England	SWES
10000571	B20	Bath Spa University	Bath Spa	Bath Spa	Non-member	England	SWES
10007152	B22	University of Bedfordshire	Bedfordshire	Bedfordshire	Non-member	England	EAST
10007140	B25	Birmingham City University	B'ham City	Birmingham City	Non-member	England	WMID
10006840	B32	The University of Birmingham	Birmingham	Birmingham	Member	England	WMID
10000712	B35	University College Birmingham	UC Birmingham		Non-member	England	WMID
10007811	B38	Bishop Grosseteste University	Bishop G'teste		Non-member	England	EMID
10006841	B44	The University of Bolton	Bolton	Bolton	Non-member	England	NWES
10000824	B50	Bournemouth University	Bournemouth	Bournemouth	Non-member	England	SWES
10007785	B56	The University of Bradford	Bradford	Bradford	Non-member	England	YORH
10000886	B72	The University of Brighton	Brighton	Brighton	Non-member	England	SEAS
10007786	B78	The University of Bristol	Bristol	Bristol	Member	England	SWES
10000961	B84	Brunel University London	Brunel	Brunel	Non-member	England	LOND
10007787	B90	The University of Buckingham	Buckingham		Non-member	England	SEAS
10000975	B94	Buckinghamshire New University	Buck's New	Bucks New University	Non-member	England	SEAS
10007788	C05	The University of Cambridge	Cambridge	Cambridge	Member	England	EAST
10001143	C10	Canterbury Christ Church University	Canterbury	Canterbury Christ Church	Non-member	England	SEAS
10007814	C15	Cardiff University	Cardiff	Cardiff	Member	Wales	WALE
10007854	C20	Cardiff Metropolitan University	Cardiff Met	Cardiff Met	Non-member	Wales	WALE
10007141	C30	The University of Central Lancashire	Central Lancs	Central Lancashire	Non-member	England	NWES
